gap,hours
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 03:00:00,3.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 03:00:00,3.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 03:00:00,3.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 03:00:00,3.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 03:00:00,3.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 03:00:00,3.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 03:00:00,3.0
0 days 03:00:00,3.0
0 days 03:00:00,3.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 03:00:00,3.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 03:00:00,3.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 03:00:00,3.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 03:00:00,3.0
0 days 03:00:00,3.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 03:00:00,3.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 03:00:00,3.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 03:00:00,3.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 03:00:00,3.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 03:00:00,3.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 03:00:00,3.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 03:00:00,3.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 03:00:00,3.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 04:00:00,4.0
0 days 03:00:00,3.0
0 days 03:00:00,3.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 03:00:00,3.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 03:00:00,3.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 03:00:00,3.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 03:00:00,3.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 03:00:00,3.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 03:00:00,3.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 03:00:00,3.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 03:00:00,3.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 03:00:00,3.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 03:00:00,3.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 03:00:00,3.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 03:00:00,3.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 03:00:00,3.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 03:00:00,3.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 06:00:00,6.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 06:00:00,6.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 04:00:00,4.0
0 days 03:00:00,3.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 03:00:00,3.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 04:00:00,4.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 03:00:00,3.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 10:00:00,10.0
0 days 07:00:00,7.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 08:00:00,8.0
0 days 05:00:00,5.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 04:00:00,4.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 04:00:00,4.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 07:00:00,7.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 02:00:00,2.0
0 days 04:00:00,4.0
0 days 02:00:00,2.0
